pl_name,hostname,default_flag,koi_disposition,disp_refname,sy_snum,sy_pnum,soltype,pl_controv_flag,pl_refname,koi_period,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,koi_prad,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,koi_insol,pl_insolerr1,pl_insolerr2,pl_insollim,koi_teq,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,koi_depth,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,koi_duration,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,st_refname,st_spectype,koi_steff,st_tefferr1,st_tefferr2,st_tefflim,koi_srad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,koi_slogg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,koi_model_snr,Target
BD+20 594 b,BD+20 594,1,CONFIRMED,Espinoza et al. 2016,1.0,1.0,Published Confirmed,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.6855,0.003,-0.003,0.0,,,,,2.5780700000000003,0.11209,-0.11209,0.0,0.0,,,0.0,276.8863488053163,,,,656.657492317948,,,,0.0,490.0,0.0025,-0.0025,0.0,4.391257976748896,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766.0,99.0,-99.0,0.0,1.08,0.06,-0.06,0.0,1.67,0.4,-0.4,0.0,-0.15,,,0.0,[Fe/H],4.5,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2017-03,2018-04-26,19.600000000000023,1.0
BD+20 594 b,BD+20 594,0,CONFIRMED,Espinoza et al. 2016,1.0,1.0,Published Confirmed,0.0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.003,-0.0031,0.0,0.241,0.019,-0.017,0.0,2.2300000000000004,0.14,-0.11,0.0,0.0,,,0.0,199.0996160457556,,,,546.0,19.0,-18.0,0.0,0.0,663.8313713355092,,,,5.157217067405344,,,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766.0,99.0,-99.0,0.0,0.928,0.055,-0.04,0.0,0.961,0.032,-0.029,0.0,-0.15,0.05,-0.05,0.0,[Fe/H],4.5,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2016-10,2016-07-28,24.89775032032577,1.0
BD+20 594 b,BD+20 594,0,CONFIRMED,Espinoza et al. 2016,1.0,1.0,Published Confirmed,0.0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.688644,0.003353,-0.003419,0.0,,,,,2.3554535100000003,0.30999992,-0.16677291,0.0,,,,,328.70389248754714,,,,860.2040172037387,,,,0.0,577.3371675870876,,,,4.338548389393758,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5703.0,50.0,-50.0,0.0,0.956122,0.098585,-0.054675,0.0,0.963861,0.029568,-0.032166,0.0,-0.06,0.08,-0.08,0.0,[Fe/H],4.38,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2018-03,2018-02-15,27.212225036349764,1.0
EPIC 201111557.01,EPIC 201111557,1,CANDIDATE,Livingston et al. 2018,1.0,0.0,Published Candidate,0.0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.3018300000000025,0.00028,-0.0003,0.0,,,,,1.12,0.11,-0.08,0.0,,,,,79.98209877516166,,,,1054.0,55.0,-55.0,0.0,0.0,22679.999999999996,,,0.0,1.9008,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4616.52,82.36,-115.56,0.0,0.762602,0.053651,-0.037585,0.0,0.73,0.084105,-0.081044,0.0,-0.03,0.034,-0.034,0.0,[M/H],4.53679,0.075486,-0.090593,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,2018-08-02,2018-08,2018-08-02,158.80477477181745,0.0
EPIC 201111557.01,EPIC 201111557,0,CANDIDATE,Livingston et al. 2018,1.0,0.0,Published Candidate,0.0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2.3023680000000013,0.000105,-0.000103,0.0,,,,,1.3125876500000002,0.524177,-0.12081424,0.0,,,,,50.75378809354169,,,,719.4095373560663,,,,0.0,5042.50569647771,,,,2.871101481108694,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,4720.0,50.0,-50.0,0.0,0.710995,0.018609,-0.020398,0.0,,,,,-0.06,0.08,-0.08,0.0,[Fe/H],4.5,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,97.1795,0.4642,-0.4598,11.727,0.046,-0.046,9.22,0.019,-0.019,11.3995,0.001307,-0.001307,2018-02-15,2018-03,2018-02-15,8.009413344508289,0.0
EPIC 201126503.01,EPIC 201126503,1,CANDIDATE,Vanderburg et al. 2016,1.0,0.0,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.1947487999999993,,,0.0,,,,,4.19,,,0.0,,,,,170.5826399102395,,,,607.465748762413,,,,0.0,4480.0,,,0.0,1.93,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3919.0,,,0.0,0.57,,,0.0,,,,,,,,,,4.724617241805399,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h43m45.26s,175.9385954,-05d52m24.09s,-5.8733592,290.062,18.356,-16.325,19.21,0.2,-0.2,14.23,0.07,-0.07,17.8892,0.001662,-0.001662,2015-12-05,2016-01,2015-12-05,69.15002977827561,0.0
EPIC 201127519.01,EPIC 201127519,1,CANDIDATE,Livingston et al. 2018,1.0,0.0,Published Candidate,0.0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,6.178870000000003,7e-05,-7e-05,0.0,,,,,8.84,0.14,-0.13,0.0,,,,,50.894777115844704,,,,772.0,10.0,-10.0,0.0,0.0,13030.000000000002,,,0.0,2.5008,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4719.28,100.72,-112.19,0.0,0.849432,0.053904,-0.052076,0.0,0.756,0.096466,-0.080306,0.0,0.213,0.041,-0.041,0.0,[M/H],4.45833,0.062492,-0.110798,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,2018-08-02,2018-08,2018-08-02,146.95834464499683,0.0
EPIC 201127519.01,EPIC 201127519,0,CANDIDATE,Livingston et al. 2018,1.0,0.0,Published Candidate,0.0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,6.1783690000000036,0.000195,-0.000172,0.0,,,,,9.91257877,0.52940607,-0.36218238,0.0,,,,,59.459619575053125,,,,689.2539360423374,,,,0.0,9547.604834849282,,,,3.5575731226805454,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5015.0,50.0,-50.0,0.0,0.7894780000000001,0.025322,-0.017327,0.0,,,,,0.24,0.08,-0.08,0.0,[Fe/H],4.67,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,117.704,0.778,-0.767,11.733,0.046,-0.046,9.43,0.021,-0.021,11.4806,0.000478,-0.000478,2018-02-15,2018-03,2018-02-15,150.93827990078307,0.0
EPIC 201147085.01,EPIC 201147085,1,CANDIDATE,Kruse et al. 2019,1.0,0.0,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.1758900000000025,0.0001,-0.0001,0.0,,,,,0.8600000000000003,0.18,-0.26,0.0,,,,,16.71102869422276,,,,573.6733204604434,,,,0.0,686.0,0.008,-0.0085,0.0,1.248,0.144,-0.192,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,4665.594998767127,,,,0.30899999999999994,0.057,-0.07,0.0,,,,,,,,,,4.6647844980806115,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m36.64s,173.902664,-05d21m52.60s,-5.364612,166.5844,,,16.64,0.2,-0.2,11.397,0.023,-0.023,,,,2019-09-05,2019-09,2019-09-05,8.31515151515157,0.0
EPIC 201152065.01,EPIC 201152065,1,CANDIDATE,Kruse et al. 2019,1.0,0.0,Published Candidate,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,10.6966,0.002,-0.0021,0.0,,,,,1.4500000000000002,0.18,-0.36,0.0,,,,,158.69496394260997,,,,971.7300882830726,,,,0.0,557.0,0.0056,-0.0059,0.0,3.24,0.336,-0.432,0.0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,4547.071784497955,,,,0.588,0.041,-0.015,0.0,,,,,,,,,,4.697982786892705,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m10.39s,173.0432884,-05d14m49.80s,-5.2471672,212.291,1.408,-1.39,14.346,0.183,-0.183,11.43,0.023,-0.023,13.9562,0.000535,-0.000535,2019-09-05,2019-09,2019-09-05,9.686956521739148,0.0
