kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,Target
5980783,CONFIRMED,37.3033197,7.793,551.7,19.5,2.31,493.0,14.0,5646.0,4.55,0.817,1.0
10212441,CONFIRMED,15.0447098,5.823,97.9,23.4,1.51,931.0,177.24,5798.0,4.025,1.525,1.0
8395660,CONFIRMED,43.84439721,6.802,615.2,83.7,2.87,531.0,18.77,5854.0,4.406,1.012,1.0
8478994,CONFIRMED,21.30181863,3.8763,87.3,32.4,0.72,564.0,23.89,5437.0,4.571,0.781,1.0
4833421,CONFIRMED,37.9962369,6.7751,403.7,37.8,2.39,618.0,34.55,6038.0,4.284,1.191,1.0
5475736,FALSE POSITIVE,2.991885335,7.4319,1356.9,160.2,3.94,1209.0,505.77,5750.0,4.464,0.839,0.0
4852528,CONFIRMED,9.521644639,2.3569,1491.3,79.2,2.16,495.0,14.2,4041.0,4.697,0.567,1.0
7826659,CONFIRMED,211.032819,7.119,1953.4,69.3,3.43,215.0,0.5,4658.0,4.632,0.686,1.0
3218908,CONFIRMED,1.475323222,2.3155,154.9,27.2,5.88,2740.0,13331.51,4941.0,3.317,4.885,1.0
3526331,FALSE POSITIVE,2.23755641,2.089,101.1,7.3,0.93,1397.0,897.8,6026.0,4.505,0.924,0.0
3937519,CONFIRMED,5.89661966,3.154,144.0,15.3,1.28,1000.0,237.1,5392.0,4.314,1.087,1.0
12004656,FALSE POSITIVE,2.52123022,4.739,145.9,8.9,9.68,726.0,65.58,3932.0,4.745,0.52,0.0
6447326,FALSE POSITIVE,4.3206933,50.68,147.9,35.7,1.66,1205.0,499.09,6225.0,4.45,1.031,0.0
3239945,CONFIRMED,7.40611676,2.8826,417.9,49.6,1.37,678.0,49.89,4799.0,4.631,0.692,1.0
6184894,CONFIRMED,7.20281185,2.8305,1832.6,49.4,3.06,794.0,93.79,5388.0,4.56,0.717,1.0
4947556,CONFIRMED,13.0267964,0.785,356.6,11.4,2.08,643.0,40.51,5083.0,4.512,0.844,1.0
